rowIndex,Name,mapId,slug,url,file_all,type,collection
2,47th Street BID,5ca384fbcb5baf0001a11b47,47th-street-bid,https://share.livexyz.com/maplist/5ca384fbcb5baf0001a11b47?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/5ca384fbcb5baf0001a11b47__47th-street-bid.jpg,geography,corridor
3,161st Street BID,5ca3839ef7787b00017c0dae,161st-street-bid,https://share.livexyz.com/maplist/5ca3839ef7787b00017c0dae?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/5ca3839ef7787b00017c0dae__161st-street-bid.jpg,geography,corridor
4,Bayside Village,5ca38484f7787b00017c0e11,bayside-village,https://share.livexyz.com/maplist/5ca38484f7787b00017c0e11?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/5ca38484f7787b00017c0e11__bayside-village.jpg,geography,corridor
5,Bed-Stuy Gateway BID,5ca3841cf7787b00017c0ddb,bed-stuy-gateway-bid,https://share.livexyz.com/maplist/5ca3841cf7787b00017c0ddb?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/5ca3841cf7787b00017c0ddb__bed-stuy-gateway-bid.jpg,geography,corridor
6,Chinatown,5ca384b6f7787b00017c0e1e,chinatown,https://share.livexyz.com/maplist/5ca384b6f7787b00017c0e1e?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/5ca384b6f7787b00017c0e1e__chinatown.jpg,geography,corridor
7,Flatiron District Map,5abbed44bd3dd800044f7acb,flatiron-district-map,https://share.livexyz.com/maplist/5abbed44bd3dd800044f7acb?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/5abbed44bd3dd800044f7acb__flatiron-district-map.jpg,geography,corridor
8,Fordham Road BID,5ca384afcb5baf0001a11b2f,fordham-road-bid,https://share.livexyz.com/maplist/5ca384afcb5baf0001a11b2f?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/5ca384afcb5baf0001a11b2f__fordham-road-bid.jpg,geography,corridor
9,Grand Central Partnership District,5ab52e6e0d438e000403bf28,grand-central-partnership-district,https://share.livexyz.com/maplist/5ab52e6e0d438e000403bf28?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/5ab52e6e0d438e000403bf28__grand-central-partnership-district.jpg,geography,corridor
10,Kings Highway BID,5ca38367cb5baf0001a11aac,kings-highway-bid,https://share.livexyz.com/maplist/5ca38367cb5baf0001a11aac?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/5ca38367cb5baf0001a11aac__kings-highway-bid.jpg,geography,corridor
11,Kingsbridge BID,5ca38304cb5baf0001a11a57,kingsbridge-bid,https://share.livexyz.com/maplist/5ca38304cb5baf0001a11a57?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/5ca38304cb5baf0001a11a57__kingsbridge-bid.jpg,geography,corridor
